Tree_ID,Name,Scientific_Name,Latitude,Longitude,Tree_Circumference(cm),DBH(cm),Height(m),Wood_density,AGB,Carbon_Storage(C)
UTMBERSERIA00187,Manggis,Garcinia Mangostana,1.560591012,103.63549,52,17,10,,92.61699318,46.30849659
UTMBERSERIA00188,Bongor Biru,Lagerstroemia Speciosa,1.560590006,103.635535,250,80,13.5,,2704.226749,1352.113374
UTMBERSERIA00189,Rambutan,Nephelium Lappaceum,1.560509037,103.6356,87.5,28,13,,330.4156293,165.2078146
UTMBERSERIA00190,Nangka,Artocarpus Heterophyllus,1.56059403,103.635659,76,24,12.5,,241.5374381,120.768719
UTMBERSERIA00191,Bongor Biru,Lagerstroemia Speciosa,1.560639875,103.6355781,72.6,23,14.5,,259.4788133,129.7394067
UTMBERSERIA00088,Rhu Tree,Casuarina equisetifolia,1.5590636,103.6351324,75,24,15,,3436.242147,1718.121073
UTMBERSERIA00089,Norfolk Island Pine,Araucaria heterophylla,1.5590227,103.6351482,50,16,7,,565.8428339,282.9214169
UTMBERSERIA00090,Norfolk Island Pine,Araucaria heterophylla,1.559091829,103.6351668,67,21,23.85,,3266.38369,1633.191845
UTMBERSERIA00091,Pokok Rhu,Casuarina equisetifolia,1.559090777,103.6351684,83,26,25.65,,7020.032658,3510.016329
UTMBERSERIA00092,Pokok Rhu,Casuarina equisetifolia,1.55906644,103.6351214,94,30,24.58,,8557.192133,4278.596066
UTMBERSERIA00093,Norfolk Island Pine,Araucaria heterophylla,1.559093951,103.6351397,63,20,24.38,,3002.95158,1501.47579
UTMBERSERIA00094,Norfolk Island Pine,Araucaria heterophylla,1.5591147,103.6351235,67,21,15,,2107.918271,1053.959136
UTMBERSERIA00095,Norfolk Island Pine,Araucaria heterophylla,1.5591333,103.6350965,145,46,20,,12597.55609,6298.778045
UTMBERSERIA00096,Norfolk Island Pine,Araucaria heterophylla,1.5591342,103.6351092,130,41,16,,8187.083342,4093.541671
UTMBERSERIA00097,Canary Island pine,Pinus Canariensis,1.5590615,103.6350975,66,21,7.21,,1017.633895,508.8169473
UTMBERSERIA00098,Norfolk Island Pine,Araucaria heterophylla,1.5591693,103.6351254,68,22,4.32,,643.843357,321.9216785
UTMBERSERIA00099,Norfolk Island Pine,Araucaria heterophylla,1.5591962,103.6351093,77,25,7.92,,1482.778763,741.3893817
UTMBERSERIA00100,Cook Pine,Araucaria Columnaris,1.55917533,103.6350818,45,14,4.15,,276.5517773,138.2758887
UTMBERSERIA00101,Eastern White Pine,Pinus Strobus ,1.559144557,103.6350766,125,40,7.19,,3473.972906,1736.986453
UTMBERSERIA00102,Canary Island pine,Pinus Canariensis,1.559189687,103.6350544,51,16,6,,523.7101972,261.8550986
UTMBERSERIA00103,Norfolk Island Pine,Araucaria heterophylla,1.55923378,103.635079,148,47,3.3,,2246.477026,1123.238513
UTMBERSERIA00104,Norfolk Island Pine,Araucaria heterophylla,1.559270802,103.6350697,126,40,3,,1494.131443,747.0657216
UTMBERSERIA00105,Canary Island pine,Pinus Canariensis,1.559206353,103.6350274,298,95,5.6,,15109.5541,7554.777052
UTMBERSERIA00106,Canary Island pine,Pinus Canariensis,1.559235995,103.635081,50,16,5,,414.0770455,207.0385227
UTMBERSERIA00107,Cook Pine,Araucaria Columnaris,1.559218024,103.6350978,48,15,4.5,,339.4759352,169.7379676
UTMBERSERIA00108,Cook Pine,Araucaria Columnaris,1.559286368,103.635074,105,33,5,,1733.991326,866.9956629
UTMBERSERIA00109,Cook Pine,Araucaria Columnaris,1.559266127,103.6350329,45,14,5,,331.7082214,165.8541107
UTMBERSERIA00110,Loblolly Pine,Pinus Taeda,1.5592504,103.635064,151,48,4.02,,2848.251361,1424.12568
UTMBERSERIA00111,Loblolly Pine,Pinus Taeda,1.5592313,103.6350414,88,28,5.63,,1379.167626,689.5838128
UTMBERSERIA00112,Loblolly Pine,Pinus Taeda,1.5592236,103.6350203,112,36,5.82,,2281.020025,1140.510012
UTMBERSERIA00113,Mango Tree,Mangifera indica,1.5593333,103.63516,88,28,11.41,,2210.280931,1105.140466
UTMBERSERIA00114,Mango tree,Mangifera indica,1.5594704,103.6350612,46,15,3,,169.1531711,84.57658556
UTMBERSERIA00115,Canary Island pine,Pinus Canariensis,1.5592138,103.6349959,111,35,5,,1964.093516,982.0467582
UTMBERSERIA00059,Angsana,Pterocarpus indicus,1.559054805,103.6344908,256,81,15,,29325.57014,14662.78507
UTMBERSERIA00060,Angsana,Pterocarpus indicus,1.559000586,103.634354,92,29,12.1,,3225.591334,1612.795667
UTMBERSERIA00061,Angsana,Pterocarpus indicus,1.559090511,103.6344322,116,37,12,,5030.369355,2515.184677
UTMBERSERIA00062,Angsana,Pterocarpus indicus Willd.,1.559108005,103.6346282,180,57,12,,11859.59366,5929.796831
UTMBERSERIA00063,Spanish Cedar,Cedrela odorata L.,1.559043451,103.6345999,97,31,14,,4123.788387,2061.894194
UTMBERSERIA00064,Angsana,Pterocarpus indicus,1.558789567,103.6350325,237,75,15.27,,25670.40111,12835.20056
UTMBERSERIA00065,Brazilian Ironwood,Libidibia Ferrea,1.559025612,103.6348076,272,87,15.36,,33879.66249,16939.83125
UTMBERSERIA00066,Platymiscium,Platymiscium curuense N.Zamora & Klitg.,1.558727215,103.6350886,270,86,10.8,,23612.42743,11806.21372
UTMBERSERIA00067,Platymiscium,Platymiscium curuense N. Zamora & Klitg.,1.558820064,103.6350098,215,68,8.55,,11996.15294,5998.07647
UTMBERSERIA00068,Pukul Lima,Samanea saman,1.55874028,103.6350989,350,111,10.27,,37308.73798,18654.36899
UTMBERSERIA00069,Pukul Lima,Samanea saman,1.55870742,103.6350669,340,108,10,,34351.35157,17175.67579
UTMBERSERIA00070,Kapok,Ceiba pentandra,1.558203166,103.6356704,116,37,5,,2140.49246,1070.24623
UTMBERSERIA00071,Ditabark,Alstonia scholaris,1.55814771,103.635667,116,37,7,,2972.587623,1486.293812
UTMBERSERIA00072,Brazilian Ironwood,Libidibia Ferrea,1.558481049,103.6353278,150,48,10,,6953.878861,3476.939431
UTMBERSERIA00073,Angsana,Amboyna-wood,1.558501884,103.6352723,124,39,10,,4795.745331,2397.872665
UTMBERSERIA00074,Champak Tree,Magnolia champaca,1.5582966,103.6353117,30,10,4,,122.8706693,61.43533465
UTMBERSERIA00075,Pukul Lima,Samanea Saman,1.5582432,103.6354669,250,80,15,,27998.89868,13999.44934
UTMBERSERIA00076,Persian-lilac,Syringa persica,1.558698,103.6356676,60,19,8,,935.1129066,467.5564533
UTMBERSERIA00077,Pukul Lima,Samanea Saman,1.5583192,103.6353725,250,80,15,,27998.89868,13999.44934
UTMBERSERIA00078,Kapok,Ceiba Pentandra (L.) Gaertn,1.558905,103.635255,136,43,16.2,,9197.114357,4598.557178
UTMBERSERIA00079,Red frangipani,Plumeria Rubra,1.5589067,103.6351738,35,11,2.96,,120.3096786,60.15483932
UTMBERSERIA00080,Madagascar Almond,Terminalia mantaly H. perrier,1.5588121,103.6353693,141,45,10.1,,6222.864606,3111.432303
UTMBERSERIA00081,Madagascar Almond,Terminalia mantaly H. Perrier,1.5587917,103.6352935,116,37,12.3,,5153.073855,2576.536928
UTMBERSERIA00082,Red frangipani,Plumeria Rubra,1.5589129,103.6352624,38,12,6.1,,294.2500076,147.1250038
UTMBERSERIA00083,Rhu tree,Casuarina equisetifolia,1.5589256,103.6351582,109,35,11.6,,4309.873315,2154.936658
UTMBERSERIA00084,Rhu tree,Casuarina equisetifolia,1.5592472,103.6352936,92,29,11.3,,3017.278395,1508.639197
UTMBERSERIA00085,Norfolk island pine,Araucaria heterophylla,1.5590489,103.6352897,58,18,12,,1300.137613,650.0688067
UTMBERSERIA00086,Norfolk island pine,Araucaria heterophylla,1.5590381,103.6351061,44,14,8,,510.4255848,255.2127924
UTMBERSERIA00087,Rhu Tree,Casuarina equisetifolia,1.5590566,103.6351326,107,34,26,,9138.356676,4569.178338
UTMBERSERIA00001,Xanthostemon chrysanthus,,1.557883382,103.6352334,46,14.64222052,5.2,0.882525,789.2766262,394.6383131
UTMBERSERIA00002,foxtail palm,,1.557876877,103.6352701,58,18.46193023,15.5,0.6,541.5939741,270.7969871
